"Disk Writes","Disk Writes"
2023-04-27 17:12:54,25.8 MB/s
2023-04-27 17:12:56,31.2 MB/s
2023-04-27 17:12:58,36.0 MB/s
2023-04-27 17:13:00,36.1 MB/s
2023-04-27 17:13:02,35.8 MB/s
2023-04-27 17:13:04,36.9 MB/s
2023-04-27 17:13:06,35.7 MB/s
2023-04-27 17:13:08,34.5 MB/s
2023-04-27 17:13:10,34.2 MB/s

