"Disk Writes","Disk Writes"
2023-04-27 20:31:24,26.3 MB/s
2023-04-27 20:31:26,26.3 MB/s
2023-04-27 20:31:28,27.9 kB/s
2023-04-27 20:31:30,26.2 MB/s
2023-04-27 20:31:32,26.2 MB/s
2023-04-27 20:31:34,3.3 kB/s
2023-04-27 20:31:36,13.9 kB/s
2023-04-27 20:31:38,10.6 kB/s
2023-04-27 20:31:40,10.6 kB/s
2023-04-27 20:31:42,26.3 MB/s
2023-04-27 20:31:44,26.3 MB/s
2023-04-27 20:31:46,155.6 kB/s
2023-04-27 20:31:48,26.3 MB/s
2023-04-27 20:31:50,26.2 MB/s
2023-04-27 20:31:52,9.7 MB/s
2023-04-27 20:31:54,26.2 MB/s
2023-04-27 20:31:56,26.2 MB/s
2023-04-27 20:31:58,26.2 MB/s
2023-04-27 20:32:00,26.2 MB/s
2023-04-27 20:32:02,26.2 MB/s
2023-04-27 20:32:04,26.2 MB/s
2023-04-27 20:32:06,26.2 MB/s

