"Time","Disk Reads (Page In)","Disk Writes (Page Out)","Total","Swap In (Reads)","Swap Out (Writes)"
2023-04-27 17:35:52,0,212173,212173,0,0
2023-04-27 17:35:53,0,357171,357171,0,0
2023-04-27 17:35:54,59802,4059955,4119757,0,0
2023-04-27 17:35:55,59802,12002918,12062720,0,0
2023-04-27 17:35:56,59802,21345075,21404877,0,0
2023-04-27 17:35:57,86016,46315110,46401126,0,0
2023-04-27 17:35:58,86016,57289933,57375949,0,0
2023-04-27 17:35:59,52429,58529382,58581811,0,0
2023-04-27 17:36:00,78643,57824051,57902694,0,0
2023-04-27 17:36:01,78643,78676787,78755430,0,0
2023-04-27 17:36:02,104858,67228467,67333325,0,0
2023-04-27 17:36:03,104858,62203494,62308352,0,0
2023-04-27 17:36:04,131072,84939571,85070643,0,0
2023-04-27 17:36:05,104858,94082662,94187520,0,0
2023-04-27 17:36:06,131072,70258688,70389760,0,0
2023-04-27 17:36:07,78643,62046208,62124851,0,0
2023-04-27 17:36:08,78643,88354816,88433459,0,0
2023-04-27 17:36:09,52429,73190605,73243034,0,0
2023-04-27 17:36:10,52429,63456870,63509299,0,0
2023-04-27 17:36:11,52429,91070464,91122893,0,0
2023-04-27 17:36:12,52429,97604403,97656832,0,0
2023-04-27 17:36:13,52429,74372710,74425139,0,0
2023-04-27 17:36:14,26214,97644544,97670758,0,0
2023-04-27 17:36:15,78643,99182182,99260826,0,0
2023-04-27 17:36:16,52429,74303898,74356326,0,0
2023-04-27 17:36:17,78643,97898496,97977139,0,0
2023-04-27 17:36:18,104858,93853286,93958144,0,0
2023-04-27 17:36:19,104858,65638400,65743258,0,0
2023-04-27 17:36:20,52429,84015514,84067942,0,0
2023-04-27 17:36:21,52429,93997466,94049894,0,0
2023-04-27 17:36:22,26214,64570982,64597197,0,0
2023-04-27 17:36:23,0,79826125,79826125,0,0
2023-04-27 17:36:24,0,96171622,96171622,0,0
2023-04-27 17:36:25,26214,75096883,75123098,0,0
2023-04-27 17:36:26,26214,75092787,75119002,0,0
2023-04-27 17:36:27,26214,94888755,94914970,0,0
2023-04-27 17:36:28,52429,81978982,82031411,0,0
2023-04-27 17:36:29,78643,79936717,80015360,0,0
2023-04-27 17:36:30,52429,98526003,98578432,0,0
2023-04-27 17:36:31,78643,84804403,84883046,0,0
2023-04-27 17:36:32,78643,67797811,67876454,0,0
2023-04-27 17:36:33,52429,95643238,95695667,0,0
2023-04-27 17:36:34,26214,79207629,79233843,0,0
2023-04-27 17:36:35,26214,61670195,61696410,0,0
2023-04-27 17:36:36,52429,86290432,86342861,0,0
2023-04-27 17:36:37,52429,95449088,95501517,0,0
2023-04-27 17:36:38,52429,80874701,80927130,0,0
