"Disk Writes","Disk Writes"
2023-04-27 19:44:54,26.3 MB/s
2023-04-27 19:44:56,26.3 MB/s
2023-04-27 19:44:58,3.0 MB/s
2023-04-27 19:45:00,26.3 MB/s
2023-04-27 19:45:02,26.3 MB/s
2023-04-27 19:45:04,5.7 kB/s
2023-04-27 19:45:06,26.3 MB/s
2023-04-27 19:45:08,26.3 MB/s
2023-04-27 19:45:10,3.3 MB/s
2023-04-27 19:45:12,26.3 MB/s
2023-04-27 19:45:14,26.3 MB/s
2023-04-27 19:45:16,17.3 MB/s
2023-04-27 19:45:18,26.3 MB/s
2023-04-27 19:45:20,26.3 MB/s
2023-04-27 19:45:22,26.3 MB/s
2023-04-27 19:45:24,8.6 MB/s
2023-04-27 19:45:26,26.3 MB/s
2023-04-27 19:45:28,26.3 MB/s
2023-04-27 19:45:30,0.0 B/s

