"Time","Log File Flush Latency"
2023-04-27 17:49:03,0.000485
2023-04-27 17:49:04,0.000485
2023-04-27 17:49:05,0.000485
2023-04-27 17:49:06,0.000559
2023-04-27 17:49:07,0.000559
2023-04-27 17:49:08,0.000559
2023-04-27 17:49:09,0.000559
2023-04-27 17:49:10,0.000559
2023-04-27 17:49:11,0.000778
2023-04-27 17:49:12,0.000778
2023-04-27 17:49:13,0.000778
2023-04-27 17:49:14,0.000778
2023-04-27 17:49:15,0.000778
2023-04-27 17:49:16,0.00107
2023-04-27 17:49:17,0.00107
2023-04-27 17:49:18,0.00107
2023-04-27 17:49:19,0.00107
2023-04-27 17:49:20,0.00107
2023-04-27 17:49:21,0.00105
2023-04-27 17:49:22,0.00105
2023-04-27 17:49:23,0.00105
2023-04-27 17:49:24,0.00105
2023-04-27 17:49:25,0.00105
2023-04-27 17:49:26,0.00103
2023-04-27 17:49:27,0.00103
2023-04-27 17:49:28,0.00103
2023-04-27 17:49:29,0.00103
2023-04-27 17:49:30,0.00103
2023-04-27 17:49:31,0.00109
2023-04-27 17:49:32,0.00109
2023-04-27 17:49:33,0.00109
2023-04-27 17:49:34,0.00109
2023-04-27 17:49:35,0.00109
2023-04-27 17:49:36,0.00104
2023-04-27 17:49:37,0.00104
2023-04-27 17:49:38,0.00104
2023-04-27 17:49:39,0.00104
2023-04-27 17:49:40,0.00104
2023-04-27 17:49:41,0.00108
2023-04-27 17:49:42,0.00108
2023-04-27 17:49:43,0.00108
2023-04-27 17:49:44,0.00108
2023-04-27 17:49:45,0.00108
2023-04-27 17:49:46,0.00109
2023-04-27 17:49:47,0.00109
2023-04-27 17:49:48,0.00109
2023-04-27 17:49:49,0.00109
2023-04-27 17:49:50,0.00109
2023-04-27 17:49:51,0.00104
2023-04-27 17:49:52,0.00104
2023-04-27 17:49:53,0.00104
2023-04-27 17:49:54,0.00104
2023-04-27 17:49:55,0.00104
2023-04-27 17:49:56,0.00106
2023-04-27 17:49:57,0.00106
2023-04-27 17:49:58,0.00106
2023-04-27 17:49:59,0.00106
2023-04-27 17:50:00,0.00106
2023-04-27 17:50:01,0.00109
2023-04-27 17:50:02,0.00109
2023-04-27 17:50:03,0.00109
2023-04-27 17:50:04,0.00109
2023-04-27 17:50:05,0.00109
2023-04-27 17:50:06,0.00107
2023-04-27 17:50:07,0.00107
2023-04-27 17:50:08,0.00107
2023-04-27 17:50:09,0.00107
2023-04-27 17:50:10,0.00107
2023-04-27 17:50:11,0.00102
2023-04-27 17:50:12,0.00102
2023-04-27 17:50:13,0.00102
2023-04-27 17:50:14,0.00102
2023-04-27 17:50:15,0.00102
2023-04-27 17:50:16,0.00106
2023-04-27 17:50:17,0.00106
2023-04-27 17:50:18,0.00106
2023-04-27 17:50:19,0.00106
2023-04-27 17:50:20,0.00106
2023-04-27 17:50:21,0.00105
2023-04-27 17:50:22,0.00105
2023-04-27 17:50:23,0.00105
2023-04-27 17:50:24,0.00105
2023-04-27 17:50:25,0.00105
2023-04-27 17:50:26,0.00106
2023-04-27 17:50:27,0.00106
2023-04-27 17:50:28,0.00106
2023-04-27 17:50:29,0.00106
2023-04-27 17:50:30,0.00106
2023-04-27 17:50:31,0.00103
2023-04-27 17:50:32,0.00103
2023-04-27 17:50:33,0.00103
2023-04-27 17:50:34,0.00103
2023-04-27 17:50:35,0.00103
2023-04-27 17:50:36,0.00103
2023-04-27 17:50:37,0.00103
2023-04-27 17:50:38,0.00103
2023-04-27 17:50:39,0.00103
2023-04-27 17:50:40,0.00103
2023-04-27 17:50:41,0.00104
2023-04-27 17:50:42,0.00104
2023-04-27 17:50:43,0.00104
2023-04-27 17:50:44,0.00104
2023-04-27 17:50:45,0.00104
2023-04-27 17:50:46,0.00104
2023-04-27 17:50:47,0.00104
2023-04-27 17:50:48,0.00104
2023-04-27 17:50:49,0.00104
2023-04-27 17:50:50,0.00104
2023-04-27 17:50:51,0.00106
2023-04-27 17:50:52,0.00106
2023-04-27 17:50:53,0.00106
2023-04-27 17:50:54,0.00106
2023-04-27 17:50:55,0.00106
2023-04-27 17:50:56,0.00102
2023-04-27 17:50:57,0.00102
2023-04-27 17:50:58,0.00102
2023-04-27 17:50:59,0.00102
2023-04-27 17:51:00,0.00102
2023-04-27 17:51:01,0.00102
2023-04-27 17:51:02,0.00102
2023-04-27 17:51:03,0.00102
2023-04-27 17:51:04,0.00102
2023-04-27 17:51:05,0.00102
2023-04-27 17:51:06,0.00108
2023-04-27 17:51:07,0.00108
2023-04-27 17:51:08,0.00108
2023-04-27 17:51:09,0.00108
2023-04-27 17:51:10,0.00108
2023-04-27 17:51:11,0.00108
2023-04-27 17:51:12,0.00108
2023-04-27 17:51:13,0.00108
2023-04-27 17:51:14,0.00108
2023-04-27 17:51:15,0.00108
2023-04-27 17:51:16,0.00220
2023-04-27 17:51:17,0.00220
2023-04-27 17:51:18,0.00220
2023-04-27 17:51:19,0.00220
2023-04-27 17:51:20,0.00220
2023-04-27 17:51:21,0.00174
2023-04-27 17:51:22,0.00174
2023-04-27 17:51:23,0.00174
2023-04-27 17:51:24,0.00174
2023-04-27 17:51:25,0.00174
2023-04-27 17:51:26,0.00103
2023-04-27 17:51:27,0.00103
2023-04-27 17:51:28,0.00103
2023-04-27 17:51:29,0.00103
2023-04-27 17:51:30,0.00103
2023-04-27 17:51:31,0.00108
2023-04-27 17:51:32,0.00108
2023-04-27 17:51:33,0.00108
2023-04-27 17:51:34,0.00108
2023-04-27 17:51:35,0.00108
2023-04-27 17:51:36,0.00107
2023-04-27 17:51:37,0.00107
2023-04-27 17:51:38,0.00107
2023-04-27 17:51:39,0.00107
2023-04-27 17:51:40,0.00107
2023-04-27 17:51:41,0.00106
2023-04-27 17:51:42,0.00106
2023-04-27 17:51:43,0.00106
2023-04-27 17:51:44,0.00106
2023-04-27 17:51:45,0.00106
2023-04-27 17:51:46,0.00101
2023-04-27 17:51:47,0.00101
2023-04-27 17:51:48,0.00101
2023-04-27 17:51:49,0.00101
2023-04-27 17:51:50,0.00101
2023-04-27 17:51:51,0.00107
2023-04-27 17:51:52,0.00107
2023-04-27 17:51:53,0.00107
2023-04-27 17:51:54,0.00107
2023-04-27 17:51:55,0.00107
2023-04-27 17:51:56,0.00118
2023-04-27 17:51:57,0.00118
